lon,lat,name,year,month,drought,enso,PET,P,ET,SM,SM_prev,DS,NDVI
-100.3,35.4,P1,1996,8,NA,-0.35,149.958252,69.48999786,93.58261871,20.95837146,18.20088476,36,0.444248885
-100.3,35.4,P1,1996,9,NA,-0.44,110.6928558,142.7700043,75.02545166,25.48538744,20.95837146,3,0.452770919
-100.3,35.4,P1,1997,1,NA,-0.3,34.43696594,17.77000046,7.395002842,20.33842504,23.8629967,6,0.273620605
-100.3,35.4,P1,1997,10,NA,2.15,80.51789856,81.30000305,45.50347519,24.5625779,24.45023656,7,0.357917726
-100.3,35.4,P1,1997,11,NA,1.92,43.64245987,21.54999924,16.92257309,23.22094142,24.5625779,-19,0.299476773
-100.3,35.4,P1,1997,12,NA,1.74,32.22199631,65.55000305,4.70937252,22.88936675,23.22094142,-12,0.288392246
-100.3,35.4,P1,1997,2,NA,-0.75,44.39660263,67.52999878,13.14970493,26.94604397,20.33842504,-18,0.260751009
-100.3,35.4,P1,1997,3,NA,0.42,76.11880493,0.300000012,35.39648056,18.56782436,26.94604397,-5,0.28684181
-100.3,35.4,P1,1997,4,NA,0.97,99.43775177,239.6399994,44.63438416,27.2113204,18.56782436,21,0.334434807
-100.3,35.4,P1,1997,5,NA,2.1,132.6496735,105.4000015,95.15540314,25.29739738,27.2113204,6,0.46980235
-100.3,35.4,P1,1997,6,NA,2.11,156.1821747,86.26000214,115.3457031,26.95529759,25.29739738,10,0.494942635
-100.3,35.4,P1,1997,7,NA,1.89,170.9042969,27.17000008,98.80914307,20.99709511,26.95529759,-9,0.478596896
-100.3,35.4,P1,1997,8,NA,2.48,151.283783,109.5100021,89.0115509,24.48031008,20.99709511,15,0.430223167
-100.3,35.4,P1,1997,9,NA,2.27,115.9180145,73.52999878,57.67138672,24.45023656,24.48031008,8,0.388160825
-100.3,35.4,P1,1998,1,NA,2.73,36.76757813,24.64999962,16.42744827,27.32014358,22.88936675,16,0.275580674
-100.3,35.4,P1,1998,10,NA,-1.28,84.05954742,163.6799927,35.45124817,25.20118058,14.85944986,-5,0.33478874
-100.3,35.4,P1,1998,11,NA,-1.28,47.86643982,59.54999924,24.28314972,26.89124942,25.20118058,17,0.316504389
-100.3,35.4,P1,1998,12,NA,-1.52,34.17411041,12.27000046,7.732546329,27.28195786,26.89124942,5,0.330489844
